"Term","Student ID","Major Desc"
202420,901496347,"Baking and Pastry Arts"
202420,901605981,"Computer Science"
202420,901446887,"Dual Credit"
202420,900145533,"Computer Information System"
202420,901085243,"American Sign Language-Deaf"
202420,901221068,"Computer Science"
202420,900707946,"Business Administration"
202420,901155801,"Biology/Pre-Professional"
202420,901295993,"Biology/Pre-Nursing"
202420,901335404,"Logistics/Supply Chain Mgmt"
202420,901337153,"Biology/Pre-Nursing"
202420,901342854,"Biology/Pre-Nursing"
202420,900689236,"Nurs:Career Mobility-LVN - RN"
202420,901253573,"Business Administration"
202420,901367084,"Business Administration"
202420,901119418,"Dual Credit"
202420,901396102,"Busi Mgmt & Oper Mgmt Spec"
202420,901403651,"Music"
202420,901404022,"Dual Credit"
202420,901406113,"Business Administration"
202420,901373064,"Biology/Pre-Professional"
202420,901242197,"Comptr & Network Support Spec"
202420,901445918,"Engineering"
202420,900792334,"Personal Fitness Trainer"
202420,901450775,"Business Administration"
202420,901232206,"Biology/Pre-Nursing"
202420,901367806,"Biology/Pre-Professional"
202420,901413768,"Liberal Arts"
202420,901462671,"Dual Credit"
202420,901462917,"Liberal Arts"
202420,901468084,"Adv Manufacturing Tech, (AMT)"
202420,901473612,"Business Administration"
202420,901476574,"Biology/Pre-Professional"
202420,900973300,"Business Management & Tech"
202420,901479869,"Dual Credit"
202420,901483173,"Dual Credit"
202420,901483519,"Dual Credit"
202420,901485343,"Liberal Arts"
202420,901485700,"Info Assurance & Cybersecurity"
202420,901486801,"Business Administration"
202420,901490169,"Biology/Pre-Nursing"
202420,901491860,"Dual Credit"
202420,901479824,"Engineering"
202420,901497336,"Dual Credit"
202420,901402972,"Business Administration"
202420,901500040,"Computer Science"
202420,901502939,"Dual Credit"
202420,901506400,"Dual Credit"
202420,901512953,"Dual Credit Home-Schooled"
202420,901512144,"Business Administration"
202420,901521733,"Culinary Arts"
202420,901477277,"Business Administration"
202420,901524805,"Radio-Television-Broadcasting"
202420,901525957,"Liberal Arts"
202420,901533659,"Engineering"
202420,901540190,"Agricultural Sciences, General"
202420,901542145,"Business Administration"
202420,901544332,"Kinesiology"
202420,901546262,"Business Administration"
202420,901509419,"Biology/Pre-Nursing"
202420,901546969,"Biology/Pre-Nursing"
202420,901546980,"Liberal Arts"
202420,901548542,"Dual Credit"
202420,901551320,"TX Teacher EC-6, 4-8, & EC-12"
202420,901550676,"Music"
202420,901550710,"Business Administration"
202420,901553394,"Dual Credit"
202420,901556779,"Dual Credit"
202420,901101581,"Biology/Pre-Nursing"
202420,901533996,"Radio-Television-Broadcasting"
202420,901497108,"Dual Credit"
202420,901559356,"Dual Credit"
202420,901559640,"Dual Credit"
202420,901558944,"Radiography Technologist"
202420,901567206,"Business Administration"
202420,901567001,"Business Administration"
202420,901541448,"Art"
202420,901567700,"Communication Design"
202420,901556045,"Biology/Pre-Nursing"
202420,901415246,"Cyber Defense"
202420,901572155,"Court Reporting-Comp Aided Tra"
202420,901572573,"Biology/Pre-Professional"
202420,901572375,"Dual Credit"
202420,901544121,"Kinesiology"
202420,901396323,"Business Administration"
202420,901455435,"Biology/Pre-Nursing"
202420,901381445,"Community Health Worker"
202420,901576295,"Biology/Pre-Nursing"
202420,901577454,"Dual Credit"
202420,901578057,"Dual Credit"
202420,901505247,"Biology/Pre-Professional"
202420,901438334,"Liberal Arts"
202420,901590004,"Dual Credit"
202420,901591213,"Engineering"
202420,901396974,"Biology/Pre-Professional"
202420,901554696,"Dual Credit"
202420,901574415,"Biology/Pre-Nursing"
202420,900693472,"Biology/Pre-Nursing"
202420,900967278,"Psychology"
202420,900876974,"Cardiac Sonography"
202420,901039305,"Psychology"
202420,901097229,"Busi Mgmt & Oper Mgmt Spec"
202420,901146580,"Business Management & Tech"
202420,901210853,"Biology/Pre-Nursing"
202420,901228410,"Comptr & Network Support Spec"
202420,900886786,"Criminal Justice"
202420,901292141,"Cosmetology Esthetician"
202420,901177628,"Fire Service Leadership"
202420,901332035,"Computer Science"
202420,901344221,"Business Administration"
202420,901352548,"Business Administration"
202420,900552759,"Business Management"
202420,901158400,"Liberal Arts"
202420,901109355,"Biology/Pre-Nursing"
202420,901515803,"EMT - Paramedic"
202420,901404647,"Dual Credit"
202420,901418329,"Comm: Advertising/PR"
202420,901413996,"Real Estate Management"
202420,901424684,"Liberal Arts"
202420,901255694,"Computer Science"
202420,901438881,"Social Media & Digtl Marketing"
202420,901364103,"Mechanical Engineering"
202420,901447450,"Biology/Pre-Professional"
202420,900838825,"Criminal Justice"
202420,901366031,"Business Administration"
202420,901292190,"Psychology"
202420,901455478,"Dual Credit"
202420,901461728,"Liberal Arts"
202420,901468568,"Business Administration"
202420,901469985,"Business Administration"
202420,901473610,"Liberal Arts"
202420,901482672,"Liberal Arts"
202420,901481962,"Biology"
202420,901324471,"Business Administration"
202420,901486679,"Biology/Pre-Professional"
202420,901486985,"Biology/Pre-Nursing"
202420,901490128,"Biology"
202420,901491835,"Dual Credit"
202420,900710496,"Nurs: Generic"
202420,901449527,"Mechanical Engineering"
202420,900796161,"Business Administration"
202420,901507044,"Dual Credit"
202420,901182677,"Dual Credit"
202420,901416904,"Nurs: Generic"
202420,901523681,"Biology/Pre-Nursing"
202420,901525796,"Biology/Pre-Nursing"
202420,901528620,"Dual Credit Home-Schooled"
202420,901538031,"Business Administration"
202420,901452292,"Business Administration"
202420,901537678,"Automotive Technology"
202420,901545836,"Business Administration"
202420,901548184,"Dual Credit"
202420,901549579,"Dual Credit"
202420,901537761,"Liberal Arts"
202420,901551757,"Dual Credit"
202420,901553075,"Dual Credit"
202420,901553392,"Dual Credit"
202420,901555016,"Biology/Pre-Professional"
202420,901555422,"Dual Credit"
202420,901556025,"Dual Credit"
202420,901530732,"Liberal Arts"
202420,901531510,"Biology/Pre-Nursing"
202420,901534648,"Mechanical Engineering"
202420,901560162,"Dual Credit"
202420,901559853,"Psychology"
202420,901560368,"Dual Credit"
202420,901503045,"Dual Credit"
202420,901567269,"Music"
202420,901508797,"Biology/Pre-Nursing"
202420,901568644,"Liberal Arts"
202420,901569419,"Biology/Pre-Nursing"
202420,901573269,"General Science"
202420,901576212,"Diagnostic Medical Sonography"
202420,901476957,"Business Administration"
202420,901576006,"Business Administration"
202420,901576495,"Economics"
202420,901370269,"Business Administration"
202420,901439757,"Digital Art"
202420,901579229,"Dual Credit"
202420,900187908,"7-12 & Other EC-12"
202420,901587554,"Business Administration"
202420,901591621,"Kinesiology"
202420,901592326,"Dual Credit"
202420,901595230,"Real Estate Management"
202420,901597696,"Computer Science"
202420,901579031,"Business Administration"
202420,901056837,"Psychology"
202420,900031393,"Music"
202420,900774489,"Computer Programming"
202420,901051218,"TX Teacher EC-6, 4-8, & EC-12"
202420,900830668,"Sociology"
202420,900739454,"Nurs: Generic"
202420,901154112,"Music"
202420,901211247,"Computer Science"
202420,901311827,"Biology"
202420,901266495,"Environmental Science"
202420,900796977,"Psychology"
202420,901380857,"Fire Science/Fire Fighting Hom"
202420,900782293,"Kinesiology"
202420,900716209,"Adv Manufacturing Tech, (AMT)"
202420,901573625,"Nurs:Career Mobility-LVN - RN"
202420,901142209,"Nutrition"
202420,901419683,"Business Administration"
202420,900924212,"Psychology"
202420,901401059,"Welder/Welding Tech"
202420,901426097,"Psychology"
202420,901326357,"Biology/Pre-Nursing"
202420,901351177,"Kinesiology"
202420,901460509,"Comptr & Network Support Spec"
202420,901463289,"Biology/Pre-Professional"
202420,901468068,"TX Teacher EC-6, 4-8, EC-12"
202420,901469049,"Criminal Justice"
202420,901365166,"Biology/Pre-Nursing"
202420,901474686,"Liberal Arts"
202420,901366548,"Chemistry"
202420,901485704,"Biology/Pre-Professional"
202420,901486363,"English"
202420,901450804,"Dual Credit"
202420,901488657,"Communication Design"
202420,901496266,"Dual Credit"
202420,901495042,"Dual Credit"
202420,901426556,"Baking and Pastry Arts"
202420,901500656,"Dual Credit"
202420,901504062,"Dual Credit"
202420,901504694,"Business Management & Tech"
202420,901505734,"Dual Credit"
202420,901507258,"Criminal Justice"
202420,901510791,"Liberal Arts"
202420,901514060,"Business Administration"
202420,901343990,"Psychology"
202420,901460350,"Engineering"
202420,901441403,"Automotive Technology"
202420,901522914,"Business Administration"
202420,901472663,"Air Conditioning & Refrigeratn"
202420,900528234,"Social Work"
202420,901530838,"Biology/Pre-Nursing"
202420,901406206,"Psychology"
202420,901541441,"Criminal Justice"
202420,901502127,"Business Administration"
202420,901543557,"Biology/Pre-Nursing"
202420,901544708,"Network Administrator"
202420,901545131,"Criminal Justice"
202420,901545402,"Mechanical Engineering"
202420,901316539,"Electrical Trades"
202420,901548183,"Biology/Pre-Professional"
202420,901550009,"Dual Credit"
202420,901552024,"Criminal Justice"
202420,901553065,"Dual Credit"
202420,901288280,"Business Administration"
202420,901510641,"Criminal Justice"
202420,901085133,"Liberal Arts"
202420,900612342,"EC-6 Generalist"
202420,901455333,"Criminal Justice"
202420,901496541,"Biology/Pre-Nursing"
202420,901531015,"Biology/Pre-Nursing"
202420,901531075,"Liberal Arts"
